varCode,varName,category,fileName
acof,Coffee Arabica,Stimulant Crops,coffee_arabica
bana,Banana,Fruits & Vegetables,banana
barl,Barley,Cereals,barley
bean,Bean,Pulses,bean
cass,Cassava,Roots & Tubers,cassava
chic,Chickpea,Pulses,chickpea
cnut,Coconut,Oil-bearing Crops,coconut
coco,Cocoa,Stimulant Crops,cocoa
cott,Cotton,Fibres,cotton
cowp,Cowpea,Pulses,cowpea
grou,Groundnut,Oil-bearing Crops,groundnut
lent,Lentil,Pulses,lentil
maiz,Maize,Cereals,maize
ocer,Other Cereals,Cereals,cereals_other
ofib,Other Fibers,Fibres,fibers_other
oilp,Oil Palm,Oil-bearing Crops,oil_palm
ooil,Other Oil Crops,Oil-bearing Crops,oil_crops_other
opul,Other Pulses,Pulses,pulses_other
orts,Other Roots & Tubers,Roots & Tubers,roots_and_tubers_other
pige,Pigeonpea,Pulses,pigeonpea
plnt,Plantain,Fruits & Vegetables,plantain
pmil,Pearl Millet,Cereals,millet_pearl
pota,Potato,Roots & Tubers,potato
rape,Rapeseed,Oil-bearing Crops,rapeseed
rcof,Coffee Robusta,Stimulant Crops,coffee_robusta
rest,Rest of Crops,Rest of Crops,rest_of_crops
rice,Rice,Cereals,rice
sesa,Sesame Seed,Oil-bearing Crops,sesame_seed
smil,Small Millet,Cereals,millet_small
sorg,Sorghum,Cereals,sorghum
soyb,Soybean,Oil-bearing Crops,soybean
sugb,Sugar Beet,Sugar Crops,sugar_beet
sugc,Sugar Cane,Sugar Crops,sugar_cane
sunf,Sunflower,Oil-bearing Crops,sunflower
swpo,Sweet Potato,Roots & Tubers,sweet_potato
teas,Tea,Stimulant Crops,tea
temf,Temperate fruit,Fruits & Vegetables,fruit_temperate
toba,Tobacco,Stimulant Crops,tobacco
trof,Tropical fruit,Fruits & Vegetables,fruit_tropical
vege,Vegetable,Fruits & Vegetables,vegetable
whea,Wheat,Cereals,wheat
yams,Yam,Roots & Tubers,yam
